name,street,city,state,zip,phone,web
Aldrich Mansion,836 Warwick Neck Avenue,Warwick,RI,02889,401-739-6850,www.aldrichmansion.com
Alpine Country Club,251 Pippin Orchard Road,Cranston,RI,02921,401-943-2670,www.alpinecountryclubri.com
Andrea Hotel,89 Atlantic Avenue,Westerly,RI,02891,401-348-8788,www.andreahotel.com
Astor's Beechwood Mansion,580 Bellevue Ave.,Newport,RI,02840,401-846-3772,www.astorsbeechwood.com
Atlantic Beach Club,55 Purgatory Rd,Middletown,RI,02842,401-847-2750,www.atlanticbeachclub.com
Belcourt Castle,657 Bellevue Avenue,Newport,RI,02840,401-846-0669,www.belcourtcastle.com
Belle Mer,2 Goat Island,Newport,RI,02840,401-841-0330,www.longwoodevents.com/Venues/BelleMer/Default.aspx
Biltmore Hotel,11 Dorrance St.,Providence,RI,02903,401-421-0700,http://www.providencebiltmore.com
Blithewold,101 Ferry Rd.,Bristol,RI,02809,401-253-2707,www.blithewold.org
Chester House,112 Ashaway Rd.,Westerly,RI,02891,401-596-8222,www.thechesterhouse.com
Federal Reserve,60 Dorrance St.,Providence,RI,02903,401-737-3783,http://www.federalreserveri.com
Glen Manor Estate,3 Frank Coelho Dr.,Portsmouth,RI,02871,401-683-4177,www.glenmanorhouse.com
Hotel Viking,One Bellevue Avenue,Newport,RI,02840,401-847-3300,www.hotelviking.com
Hyatt Regency Newport,1 Goat Island,Newport,RI,02840,401-851-1234,newport.hyatt.com
Kirkbrae Country Club,197 Old River Rd.,Lincoln,RI,02865,401-333-1300,http://www.kirkbrae.org
Marriott Newport,25 Americas Cup Ave.,Newport,RI,02840,401-849-1000,www.Marriott.com/PVDLW
Meadow Brook Inn,168 Carolina Back Rd.,Charlestown,RI,02813,401-364-3669,www.meadowbrookinnri.com
New York Yacht Club,5 Halidon Ave.,Newport,RI,02840,401-846-1000,www.nyyc.org
Newport Harbor Hotel,49 Americas Cup Ave.,Newport,RI,02840,401-847-9000,www.newporthotel.com
Oceancliff Resort,65 Ridge Rd.,Newport,RI,02840,401- 846-6667,www.oceancliff1and2.com
Pawtucket Country Club,900 Armistice Blvd.,Pawtucket,RI,02861,401-725-2918,www.pawtucketcountryclub.com
Point Pleasant Inn,333 Poppasquash Road,Bristol,RI,02809,401-253-0627,www.pointpleasantinn.com
Quidnessett Country Club,950 North Quidnessett Rd.,North Kingstown,RI,02852,401-884-1100,www.reachri.com/qcc/QuidnessettCountryClub.html
Regatta Club,,Newport,RI,,,
Rhodes On the Pawtuxet,60 Rhodes Place,Cranston,RI,02905,401-785-4333,www.rhodesonthepawtuxet.com
Roger Williams Park and Casino,Elmwood Avenue,Providence,RI,,401-941-5640 ,http://www.providenceri.com/vacation/CasinoInfoPacket.html
Rose Farm Inn,1005 Roslyn Rd.,Block Island,RI,02807,401-466-2034,www.rosefarminn.com
Rosecliff,548 Bellevue Ave.,Newport,RI,02840,401-847-1000,http://www.newportmansions.org/page3751.cfm
Easton's Beach Rotunda ,175 Memorial Blvd.,Newport,RI,02840,401-845-5489,
Seaview Country Club,150 Gray St.,Warwick,RI,02889,401-739-6311,
Stone House Club,122 Sakonnet Point Rd.,Little Compton,RI,,401-635-2222,http://www.stonehouse1854.com
The 1661 Inn and Hotel Manisses,PO Box I,Block Island,RI,02807,401-466-2421,www.blockislandresorts.com
Warwick Country Club,394 Narragansett Bay Ave.,Warwick,RI,02889,401-737-9248,www.warwickcc.com
West Valley Inn,4 Blossom St.,West Warwick,RI,02893,401-822-2834,www.westvalleyinn.com
The Westin Providence,1 Exchange St.,Providence,RI,02903,401-598-8000,www.westin.com/providence
Linden Place,500 Hope St.,Bristol,RI,02809,401-253-0390,www.lindenplace.org
Squantum Association,947 Veterans Memorial Parkway,East Providence,RI,02915,401-434-8377,http://www.squantumassociation.com
Venus de Milo Restaurant,75 Grand Army Highway,Swansea,MA,02777,508-678-3901,http://www.venusdemilo.com
Salerno's,196 Onset Ave.,Onset,MA,02558,508-291-6182,http://www.salernosfunctions.com
Ledgemont Country Club,131 Brown Ave.,Seekonk,MA,02771,508-761-6600,http://www.ledgemontcc.com/
Roger Williams National Memorial Park,282 North Main St.,Providence,RI,02903,401-521-7266 ,http://www.nps.gov/rowi
Mount Hope Farm,250 Metacom Ave.,Bristol,RI,02809,401-254-1745,http://www.mounthopefarm.com/
Johnson and Wales Inn,213 Taunton Ave.,Seekonk,MA,02771,800-232-1772,http://www.jwinn.com/wed.htm
Independence Harbor,10 Narrows Rd.,Assonet,MA,02702 ,800-287-8300,http://www.ihweddings.com/?ref=barmannphotography.com
Rhode Island State House,82 Smith St.,Providence,RI,02902,401-222-2357 ,http://www.rilin.state.ri.us/statehousetour/
Five Bridge Inn,154 Pine St.,Rehoboth,MA,02769,508-252-3190,http://www.fivebridgeinn.com
Renaissance Providence Hotel,5 Avenue of the Arts,Providence,RI,02903,401-276-0010,http://www.marriott.com/hotels/event-planning/travel/pvdbr-renaissance-providence-downtown-hotel/
Aldrich House,110 Benevolent St.,Providence,RI,02906,401-331-8575,http://www.rihs.org/rentals_rentals.html
